game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
stisub	Super Treasure Island (Italy, v1.6)	Subsino	1995	Slot Machine / Video Slot		stbsub	stbsub	1	2	1	joy8way		60.000000	H			512	224	R	
stkclmns	Stack Columns (World)	Sega	1994	Puzzle / Drop				2	2	2	joy8way		60	H			256	224	R	
stkclmnsj	Stack Columns (Japan)	Sega	1994	Puzzle / Drop	stkclmns	stkclmns		2	2	2	joy8way		60	H			256	224	R	
stlforce	Steel Force	Electronic Devices Italy / Ecogames S.L. Spain	1994	Maze / Shooter Large				2	3	2	joy8way		58	H			368	240	R	
stmblade	Storm Blade (US)	Visco	1996	Shooter / Flying Vertical				2	3	2	joy8way		60	V			352	240	R	
stmbladej	Storm Blade (Japan)	Visco	1996										60.186720	V			352	240		
st_nl	ST (Netherlands)	Atari	1985										49.664704	H			1024	312		
stocker	Stocker (3/19/85)	Bally/Sente	1984	Driving / Race				2	1	1	dial		59.185606	H			256	240	R	
stoffy	Super Toffy	Midas	1994	Maze / Digging				2	3	2	joy8way		57.444853	H			256	240	R	
stoffyu	Super Toffy (Unico license)	Midas (Unico license)	1994										57.444853	H			256	240		
stompin	Stompin' (4/4/86)	Bally/Sente	1986	Whac-A-Mole / Footsteps				2	8	1	doublejoy8way		59.185606	H			256	240	R	
stoneage	Stoneage (bootleg of Caveman Ninja)	bootleg	1991	Platform / Shooter Scrolling	cninja	cninja		2	2	2	joy8way		58	H			256	240	R	
stoneba2	Stone Ball (2 Players)		1994	Sports			stonebal			4			50.27	H	4	3	320	256	R	
stonebal	Stone Ball (4 Players, v1-20 13/12/1994)	Art & Magic	1994	Sports / Soccer				4	3	4	joy8way		49.764608	H			320	256	R	
stonebal2	Stone Ball (2 Players, v1-20 7/11/1994)	Art & Magic	1994	Sports / Soccer	stonebal	stonebal		4	3	4	joy8way		49.764608	H			320	256	R	
storming	Storming Party / Riku Kai Kuu Saizensen	bootleg	1986	Shooter / Misc. Vertical	lsasquad	lsasquad		2	2	2	joy8way		60	V			256	224	R	
strahl	Koutetsu Yousai Strahl (World)	UPL	1992	Shooter / Flying Horizontal				2	2	2	joy8way		56	H			256	224	R	
strahla	Koutetsu Yousai Strahl (Japan set 2)	UPL	1992	Shooter / Flying Horizontal	strahl	strahl		2	2	2	joy8way		56	H			256	224	R	
stratab	Strata Bowling (V3)	Strata/Incredible Technologies	1990	Sports / Bowling				2	2	2	trackball		60	V			256	240	R	
stratab1	Strata Bowling (V1)	Strata/Incredible Technologies	1990	Sports / Bowling	stratab	stratab		2	2	2	trackball		60	V			256	240	R	
stratabs	Strata Bowling (V1 4T, Super Strike Bowling type PCB)	Strata/Incredible Technologies	1990										60.000000	V			256	240		
stratgys	Strategy X (Stern Electronics)	Konami (Stern Electronics license)	1981	Shooter / Driving Vertical	stratgyx	stratgyx		2	3	2	joy8way		60.606061	H			256	224	R	
stratgyx	Strategy X	Konami	1981	Shooter / Driving Vertical				2	3	2	joy8way		60.606061	H			256	224	R	
stratof	Raiga - Strato Fighter (US)	Tecmo	1991	Shooter / Flying Horizontal				2	2	2	joy8way		59.17	H			256	224	R	
stratos	Kasparov Stratos Chess Computer	Saitek	1986										50.000000	H			240	64		
stratvox	Stratovox (set 1)	Sun Electronics (Taito license)	1980	Shooter / Gallery	speakres	speakres		1	1	2	joy2way		57	V			256	256	R	
stratvoxb	Stratovox (bootleg)	bootleg	1980	Shooter / Gallery	speakres	speakres		1	1	2	joy2way		57	V			256	256	R	
streakng	Streaking (set 1)	Shoei	1980	Maze / Collect				1	1	2	joy4way		60.606061	V			768	224	R	
streaknga	Streaking (set 2)	Shoei	1980	Maze / Collect		streakng	streakng	1	1	2	joy4way		60.606061	V	3	4	768	224	R	
streetg	Street Games (Revision 4)	New Image Technologies	1993	MultiGame / Compilation				3	1	2	lightgun		60	H			512	256	R	
streetg2	Street Games II (Revision 7C)	New Image Technologies	1993	MultiGame / Compilation				3	1	2	lightgun		60	H			512	256	R	
streetg2r5	Street Games II (Revision 5)	New Image Technologies	1993	MultiGame / Compilation	streetg2	streetg2		3	1	2	lightgun		60	H			512	256	R	
streetgr3	Street Games (Revision 3)	New Image Technologies	1993	MultiGame / Compilation	streetg	streetg		3	1	2	lightgun		60	H			512	256	R	
streets1	Street Smart (US version 1)		1989	Fighter / Versus Co-op			streetsm			2			60	H	4	3	256	224	R	
streetsj	Street Smart (Japan version 1)		1989	Fighter / Versus Co-op			streetsm			2			60	H	4	3	256	224	R	
streetsm	Street Smart (US version 2)	SNK	1989	Fighter / Versus Co-op				2	3	2	joy8way		59.185606	H			256	224	R	
streetsm1	Street Smart (US version 1)	SNK	1989	Fighter / Versus Co-op	streetsm	streetsm		2	3	2	joy8way		59.185606	H			256	224	R	
streetsmj	Street Smart (Japan version 1)	SNK	1989	Fighter / Versus Co-op	streetsm	streetsm		2	3	2	joy8way		59.185606	H			256	224	R	
streetsmw	Street Smart (World version 1)	SNK	1989	Fighter / Versus Co-op	streetsm	streetsm		2	3	2	joy8way		59.185606	H			256	224	R	
streetsw	Street Smart (World version 1)		1989	Fighter / Versus Co-op			streetsm			2			60	H	4	3	256	224	R	
stress	Stress Busters (J 981020 V1.000)	Sega	1998	Misc. / Unknown	stvbios	stvbios		2	6	4	joy8way		59.828244	H			320	224	R	
strfbomb	Strafe Bomb (bootleg of Scramble)	bootleg (Omni)	1981	Shooter / Flying Horizontal	scramble	scramble		2	2	2	joy8way		60.606061	V			768	224	R	
strhoop	Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004)	Data East Corporation	1994	Sports / Basketball	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
strider	Strider (USA, B-Board 89624B-2)	Capcom	1989	Platform / Fighter Scrolling				2	3	2	joy8way		59.61	H			384	224	R	
strider2	Strider 2 (Euro 991213)	Capcom	1999	Platform / Fighter Scrolling	cpzn2	cpzn2		4	3	4	joy8way		60	H			640	480	R	
strider2a	Strider 2 (Asia 991213)	Capcom	1999	Platform / Fighter Scrolling	strider2	strider2		4	3	4	joy8way		60	H			640	480	R	
striderj	Strider Hiryu (Japan)	Capcom	1989	Platform / Fighter Scrolling	strider	strider		2	3	2	joy8way		59.61	H			384	224	R	
striderjr	Strider Hiryu (Japan Resale Ver.)	Capcom	1989	Platform / Fighter Scrolling	strider	strider		2	3	2	joy8way		59.61	H			384	224	R	
striderua	Strider (USA, B-Board 89624B-3)	Capcom	1989	Platform / Fighter Scrolling	strider	strider		2	3	2	joy8way		59.61	H			384	224	R	
strideruc	Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)	bootleg (Capcom)	1989	Platform / Fighter Scrolling		strider	strider			2			59.637405	H	4	3	384	224	R	
stridr2a	Strider 2 (ASIA 991213)		1999	Not Classified			strider2			4			60	H	4	3	640	480	R	
stridrja	Strider Hiryu (Japan set 2)		1989	Platform / Fighter Scrolling			strider			2			60	H	4	3	384	224	R	
stridrua	Strider (US set 2)		1989	Platform / Fighter Scrolling			strider			2			60	H	4	3	384	224	R	
strikeit	Strike it Lucky (v0.5)		199?	Not Classified				4	7	1	trackball		50.000000	H			504	296	R	
strikeit2	Strike it Lucky (v0.53)		199?	Not Classified			strikeit	4	7	1	trackball		50.000000	H			504	296	R	
strikeit2d	Strike it Lucky (v0.53, Datapak)		199?	Not Classified			strikeit	4	7	1	trackball		50.000000	H			504	296	R	
strikeitd	Strike it Lucky (v0.5, Datapak)		199?	Not Classified			strikeit	4	7	1	trackball		50.000000	H			504	296	R	
strikext	Striker Xtreme (1.02)	Stern	1999										60.000000	H			128	32		
strik_l4	Strike Master (L-4)	Williams	1992										60.000000	H			128	32		
striv	Super Triv (English questions)	Nova du Canada	1985	Quiz / Questions in English				1	4	2	joy8way		60	V			256	224	R	
striv2														V	3	4	256	224	R	
strkfgtr	Strike Fighter (World)	Sega	1991	Shooter / Flying 1st Person				2	3	1	stick		60	H			320	224	R	
strkfgtrj	Strike Fighter (Japan)	Sega	1991	Shooter / Flying 1st Person		strkfgtr	strkfgtr			1			60.000000	H	4	3	320	224	R	
strkforc	Strike Force (rev 1 02/25/91)	Midway	1991	Shooter / Flying				4	3	2	joy8way		54.81517	H			410	256	R	
strknew	Striker Xtreme (ARM7 Sound Board)	Stern	1999										60.000000	H			128	32		
strkzone	Strike Zone Baseball	Leland Corp.	1988	Sports / Baseball				2	6	2	stick		60	H			320	240	R	
strnskil	Strength & Skill	Sun Electronics	1984	Sports / Misc.				2	2	2	joy8way		60	H			240	224	R	
strongx	Strong X	bootleg	1982	Shooter / Driving Vertical	stratgyx	stratgyx		2	3	2	joy8way		60.606061	H			256	224	R	
strtdriv	Street Drivin' (prototype)	Atari Games	1993	Driving / 1st Person				3	6	1	pedal		60.311206	H			512	288	R	
strtheat	Street Heat (set 1, newer?)	Epos Corporation	1985	Shooter / Driving (chase view)				1	3	2	dial		60.606061	V			256	224	R	
strvmstr	Super Trivia Master	Enerdyne Technologies Inc.	1986	Quiz / Questions in English				1	4	2	joy8way		60	V			256	224	R	
strxt_fr	Striker Xtreme (France)	Stern	1999										60.000000	H			128	32		
strxt_gr	Striker Xtreme (Germany)	Stern	1999										60.000000	H			128	32		
strxt_it	Striker Xtreme (Italy)	Stern	1999										60.000000	H			128	32		
strxt_sp	Striker Xtreme (Spain)	Stern	1999										60.000000	H			128	32		
strxt_uk	Striker Xtreme (UK)	Stern	1999										60.000000	H			128	32		
st_se	ST (Sweden)	Atari	1985										49.664704	H			1024	312		
st_sg	ST (Switzerland)	Atari	1985										49.664704	H			1024	312		
sttng_g7	Star Trek: The Next Generation (LG-7)	Williams	1994										60.000000	H			512	128		
sttng_l1	Star Trek: The Next Generation (LX-1)	Williams	1993										60.000000	H			512	128		
sttng_l2	Star Trek: The Next Generation (LX-2)	Williams	1993										60.000000	H			512	128		
sttng_l3	Star Trek: The Next Generation (LX-3)	Williams	1994										60.000000	H			512	128		
sttng_l7	Star Trek: The Next Generation (LX-7)	Williams	1994										60.000000	H			512	128		
sttng_p4	Star Trek: The Next Generation (P-4)	Williams	1993										60.000000	H			512	128		
sttng_p5	Star Trek: The Next Generation (P-5)	Williams	1993										60.000000	H			512	128		
sttng_p8	Star Trek: The Next Generation (P-8)	Williams	1993										60.000000	H			512	128		
sttng_s7	Star Trek: The Next Generation (LX-7) SP1	Williams	1994										60.000000	H			512	128		
sttng_x7	Star Trek: The Next Generation (LX-7 Special)	Williams	1994										60.000000	H			512	128		
studio2	Studio II	RCA	1977										59.978190	H			100	246		
st_uk	ST (UK)	Atari	1985										49.664704	H			1024	312		
stunrn2e	S.T.U.N. Runner (rev 2, Europe)		1989	Shooter / Driving (chase view)			stunrun			1			60	H	4	3	512	228	R	
stunrn3e	S.T.U.N. Runner (rev 3, Europe)		1989	Shooter / Driving (chase view)			stunrun			1			60	H	4	3	512	228	R	
stunrun	S.T.U.N. Runner (rev 6)	Atari Games	1989	Shooter / Driving (chase view)				3	2	1	stick		60.201796	H			512	228	R	
stunrun0	S.T.U.N. Runner (rev 0)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun2	S.T.U.N. Runner (rev 2)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun2e	S.T.U.N. Runner (rev 2, Europe)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun3	S.T.U.N. Runner (rev 3)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun3e	S.T.U.N. Runner (rev 3, Europe)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun4	S.T.U.N. Runner (rev 4)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrun5	S.T.U.N. Runner (rev 5)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrune	S.T.U.N. Runner (rev 5, Europe)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrunj	S.T.U.N. Runner (rev 7, Japan)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stunrunp	S.T.U.N. Runner (upright prototype)	Atari Games	1989	Shooter / Driving (chase view)	stunrun	stunrun		3	2	1	stick		60.201796	H			512	228	R	
stuntair	Stunt Air	Nuova Videotron	1983										60.000000	V			256	224		
stuntcyc	Stunt Cycle [TTL]	Atari	1976										29.970030	H			858	525		
stvbios	ST-V Bios	Sega	1996	System / BIOS				2	6	2	joy8way		60	H	4	3	320	224	R	
stwr_102	Star Wars (1.02)	Data East	1992										60.000000	H			128	32		
stwr_103	Star Wars (1.03)	Data East	1992										60.000000	H			128	32		
stwr_104	Star Wars (1.04)	Data East	1992										60.000000	H			128	32		
stwr_a14	Star Wars (Display Rev.1.04)	Data East	1992										60.000000	H			128	32		
stwr_e12	Star Wars (1.02 England)	Data East	1992										60.000000	H			128	32		
stwr_g11	Star Wars (1.01 Germany)	Data East	1992										60.000000	H			128	32		
styphp	Stunt Typhoon Plus	Taito	2000										60.000000	H			512	384		
su2000	SU2000	Virtuality	1993										53.178707	H			640	480		
sub	Submarine (Sigma)	Sigma Enterprises Inc.	1985	Shooter / Misc. Horizontal				1	2	2	joy8way		60	V			256	224	R	
subhunt	Sub Hunter (Gremlin / Taito)	Gremlin (Taito license)	1977	Shooter / Gallery	depthch	depthch		1	2	1	joy2way		60	H			256	224	R	
subhuntr	Sub Hunter (Model Racing)	Model Racing	1979										50.000000	H			224	240		
subroc3d	Subroc-3D	Sega	1982	Shooter / Flying 1st Person				2	1	1	joy8way		59.090909	H			512	224	R	
subs	Subs	Atari	1977	Shooter / Field				2	1	2	dial		57	H			256	224	R	
sucasino	Super Casino	Data Amusement	1984	Casino / Cards				1	1	2	joy2way		60	V			256	224	R	
suchie3	Idol Janshi Suchie-Pai 3 (Japan)	Jaleco	1999	Tabletop / Mahjong	naomi	naomi		2	6	1	joy8way		60	H			640	480	R	
suchipi	Idol Janshi Suchie-Pai Special (Japan)	Jaleco	1993	Tabletop / Mahjong				2	2	1	joy8way		60	H			256	224	R	
suhosong	Su Ho Seong	SemiCom	1997										57.500000	H			256	224		
suikoenb	Suiko Enbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001)	Data East	1995	Fighter / Versus	stvbios	stvbios		2	6	2	joy8way		59.828244	H			320	224	R	
sukuinuf	Quiz and Variety Suku Suku Inufuku 2 (IN2 Ver. A)	Namco	2004	Quiz / Questions in Japanese	sys246	sys246		1	3	0	vjoy2way		60	H			640	480	R	
sultanw	Sultan's Wish (Konami Endeavour)	Konami	200?										60.000000	H			640	480		
sumospin	Sumo Spins	Aristocrat	199?										60.000000	H			640	400		
sun1	Sun-1	Sun Microsystems	1982										50.000000	H			640	240		
sun3_80	Sun 3x/80	Sun Microsystems	198?										72.000000	H			1152	900		
sunaq	SunA Quiz 6000 Academy (940620-6)	SunA	1994	Quiz / Questions in English				2	4	2	joy8way		60	H			256	224	R	
sundance	Sundance	Cinematronics	1979	Misc. / Unknown				1	1	2	dial		38	V	3	4	640	480	V	
sunmon2	Sun & Moon (0151303, US)	Aristocrat	200?										60.000000	H			640	480		
sunqndol	Sun Queen - Dollar Storm (0451327, US)	Aristocrat	200?										60.000000	H			640	480		
sunsetbl	Sunset Riders (bootleg 4 Players ver ADD)		1991	Platform / Shooter Scrolling			ssriders			4			60	H	4	3	288	224	R	
supbtime	Super Burger Time (World, set 1)	Data East Corporation	1990	Platform / Run Jump				3	2	2	joy8way		58	H			320	240	R	
supbtimea	Super Burger Time (World, set 2)	Data East Corporation	1990	Platform / Run Jump	supbtime	supbtime		3	2	2	joy8way		58	H			320	240	R	
supbtimej	Super Burger Time (Japan)	Data East Corporation	1990	Platform / Run Jump	supbtime	supbtime		3	2	2	joy8way		58	H			320	240	R	
supbtimj	Super Burger Time (Japan)		1990	Platform / Run Jump			supbtime			2			58	H	4	3	320	240	R	
supbuk2	Superbucks 2	Aristocrat	199?										60.000000	H			640	400		
supcrash	Super Crash (bootleg of Head On)	bootleg	1979	Maze / Driving	headon	headon		1	1	1	joy4way		60	H			256	224	R	
supdrapo	Super Draw Poker (set 1)	Valadon Automation (Stern Electronics license)	1983	Casino / Cards				4	11	2	joy8way		60	V			256	256	R	
supdrapoa	Super Draw Poker (set 2)	Valadon Automation / Jeutel	1983	Casino / Cards		supdrapo	supdrapo	4	11	2	joy8way		60.000000	V			256	256	R	
supdrapob	Super Draw Poker (bootleg)	bootleg	1983	Casino / Cards		supdrapo	supdrapo	4	11	2	joy8way		60.000000	V			256	256	R	
supduck	Super Duck	Comad	1992										60.000000	H			256	224		
super21	Super Twenty One	Mirco Games	1978										60.000000	H			320	190		
super6	Super Six	Advanced Digital Corporation	1983										50.000000	H			640	240		
super80	Super-80 (V1.2)	Dick Smith Electronics	1981										65.104167	H			256	160		
super80d	Super-80 (V2.2)	Dick Smith Electronics	1981										65.104167	H			256	160		
super80e	Super-80 (El Graphix 4)	Dick Smith Electronics	1981										65.104167	H			256	160		
super80m	Super-80 (with colour)	Dick Smith Electronics	1981										65.104167	H			256	160		
super80r	Super-80 (with VDUEB)	Dick Smith Electronics	1981										50.000000	H			560	300		
super80v	Super-80 (with enhanced VDUEB)	Dick Smith Electronics	1981										50.000000	H			560	300		
super9	Super Nove (Playmark)	Playmark	2001										60.000000	H			512	224		
super98	Super 98 (3-hands, ICP-1)	<unknown>	1998										60.000000	H			256	232		
superabc	Super ABC (Pac-Man multigame kit, Sep. 03 1999)	hack (Two-Bit Score)	1999										60.606061	V			288	224		
superabco	Super ABC (Pac-Man multigame kit, Mar. 08 1999)	hack (Two-Bit Score)	1999										60.606061	V			288	224		
superbar	Super Bar	Promat	1994	Ball & Paddle / Breakout	wiggie	wiggie		2	2	2	joy8way		60	V			384	240	R	
superbik	Superbike	Century Electronics	1983	Shooter / Driving Horizontal				2	2	2	joy8way		60	V			240	248	R	
superbon	Agent Super Bond (Super Cobra conversion)	Signatron USA	1985	Maze / Shooter Small				2	2	1	joy8way		60.606061	V			768	224	R	
superbug	Super Bug	Atari (Kee Games)	1977	Driving / Race				2	7	1	dial		60	V			320	240	R	
superbwl	Super Bowl (Version 16.03B)	Greyhound Electronics	1982	Casino / Cards				2	9	1	joy8way		60	H			416	224	R	
superchs	Super Chase - Criminal Termination (World)	Taito Corporation Japan	1992	Driving / 1st Person				2	5	1	stick		60	H			320	240	R	
superchsj	Super Chase - Criminal Termination (Japan)	Taito Corporation	1992	Driving / 1st Person		superchs	superchs			1			60.000000	H	4	3	320	240	R	
superchsp	Super Chase - Criminal Termination (1992/10/26 20:24:29 CHASE 3 VER 1.1, prototype)	Taito Corporation	1992										60.000000	H			320	240		
superchsu	Super Chase - Criminal Termination (US)	Taito America Corporation	1992	Driving / 1st Person		superchs	superchs			1			60.000000	H	4	3	320	240	R	
supercrd	Super Card (encrypted)	Fun World	1992										60.000000	H			384	232		
superdbl	Super Double (French)	Karateco	198?			pottnpkr		3	2	1	joy8way		60.000000	H			256	232	R	
superdbz	Super Dragon Ball Z (DB1 Ver. B)	Banpresto / Spike	2005										60.000000	H			640	480		
superdq	Super Don Quix-ote (Long Scenes)	Universal	1984	Platform / Run Jump				2	1	2	joy8way		59.940052	H			704	480	R	
superdqa	Super Don Quix-ote (Short Scenes, Alt)	Universal	1984	Platform / Run Jump	superdq	superdq		2	1	2	joy8way		59.940052	H			704	480	R	
superdqs	Super Don Quix-ote (Short Scenes)	Universal	1984	Platform / Run Jump	superdq	superdq		2	1	2	joy8way		59.940052	H			704	480	R	
superg	Super Galaxians (galaxiana hack)	hack	1979	Shooter / Gallery	galaxian	galaxian		2	1	2	joy2way		60.606061	V			768	224	R	
supergb	Super Game Boy	Nintendo	1994										59.732155	H			256	224		
supergb2	Super Game Boy 2	Nintendo	1998										59.732155	H			256	224		
supergm3	Super Game III	<unknown>	1996	MultiGame / Compilation				1	3	2	joy8way		60.000000	H			256	240	R	
supergs	Super Galaxians (Silver Systems)	hack	1979										60.606061	V			768	224		
supergx	Super GX	Namco / Nichibutsu	1980	Shooter / Gallery	galaxian	galaxian		2	1	2	joy2way		60.606061	V			768	224	R	
superinv	Super Invaders (bootleg set 1)	bootleg	1978	Shooter / Gallery	invaders	invaders		2	1	2	joy2way		59.541985	V			260	224	R	
superman	Superman (World)	Taito Corporation	1988	Fighter / 2D				2	2	2	joy8way		57.43	H			384	240	R	
supermanj	Superman (Japan)	Taito Corporation	1988	Fighter / 2D	superman	superman		2	2	2	joy8way		57.43	H			384	240	R	
supermanu	Superman (US)	Taito Corporation	1988	Fighter / 2D		superman	superman			2			57.430000	H	4	3	384	240	R	
superpac	Super Pac-Man	Namco	1982	Maze / Collect				2	1	2	joy4way		60.606061	V			288	224	R	
superpacm	Super Pac-Man (Midway)	Namco (Bally Midway license)	1982	Maze / Collect	superpac	superpac		2	1	2	joy4way		60.606061	V			288	224	R	
superpcm	Super Pac-Man (Midway)		1982	Maze			superpac			2			60.60606	V	3	4	288	224	R	
superpet	SuperPET SP-9000	Commodore Business Machines	1981										60.000000	H			640	250		
superqix	Super Qix		1987	Not Classified						2			60	V	3	4	256	224	R	
superslv	Super Slave	Advanced Digital Corporation	1983										50.000000	H			640	240		
superspy	The Super Spy (NGM-011 ~ NGH-011)	SNK	1990	Fighter / Misc.	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
superten	Super Ten V8.3	U.S. Games	1988										60.000000	H			400	248		
supertnk	Super Tank	Video Games GmbH	1981	Shooter / Field				1	1	2	joy8way		60	V			256	256	R	
supertr2	Super Triv II	Status Games	1986	Quiz / Questions in English				2	4	1	joy8way		59.992284	H			320	240	R	
supertr3	Super Triv III	Status Games	1988	Quiz / Questions in English				2	4	1	joy8way		59.992284	H			320	240	R	
superwng	Super Wing	Wing	1985										60.000000	V			256	224		
superx	Super-X (NTC)	Dooyong (NTC license)	1994	Shooter / Flying Vertical				2	4	2	joy8way		60	V			384	240	R	
superxm	Super-X (Mitchell)	Dooyong (Mitchell license)	1994	Shooter / Flying Vertical	superx	superx		2	4	2	joy8way		60	V			384	240	R	
supjolly	Super Jolly	<unknown>	200?	Casino / Misc.				2	5	1	joy8way		60	H			512	256	R	
suplup	Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518)	Omega System	1999	Puzzle / Toss				2	4	2	joy8way		60	H			320	240	R	
supmodel	Super Model	Comad & New Japan System	1994	Puzzle / Outline				2	1	2	joy8way		60	V			256	224	R	
supnudg2	Super Nudger II - P173 (Version 5.21)	Coinmaster	1989	Quiz / Questions in English				4	3	1	joy2way		60	H			368	256	R	
supracan	Super A'Can	Funtech Entertainment	1995										60.269812	H			256	240		
suprball	Super Ball (Version 1.3)	Amcoe	2002										60.000000	H			512	288		
suprglob	Super Glob	Epos Corporation	1983	Platform / Run Jump				1	2	1	joy8way		60	V			272	236	R	
suprgolf	Super Crowns Golf (World)	Nasco	1989	Sports / Golf				2	4	2	dial		60	H			256	192	R	
suprheli	Super Heli (Super Cobra bootleg)	bootleg	1981	Shooter / Flying Horizontal	scobra	scobra		2	2	2	joy8way		60.606061	V			768	224	R	
suprleag	Super League (FD1094 317-0045)	Sega	1987	Sports / Baseball				2	11	2	trackball		60.054389	H			320	224	R	
suprloco	Super Locomotive (Rev.A)	Sega	1982	Maze / Driving				2	2	2	joy8way		60	H			240	224	R	
suprlocoa	Super Locomotive (Rev.A)		1982	Not Classified	suprloco			2	2	2	joy8way		60	H			240	224	R	
suprlocoo	Super Locomotive	Sega	1982	Maze / Driving		suprloco	suprloco			2			60.000000	H	4	3	240	224	R	
suprmatk	Super Missile Attack (for rev 1)	Atari / General Computer Corporation	1981	Shooter / Command	missile	missile		3	3	2	trackball		61.035156	H			256	232	R	
suprmatkd	Super Missile Attack (not encrypted)	Atari / General Computer Corporation	1981	Shooter / Command	missile	missile		3	3	2	trackball		61.035156	H			256	232	R	
suprmous	Super Mouse	Taito Corporation	1982	Platform / Run Jump	funnymou			1	1	2	joy8way		60.606061	V			256	224	R	
suprmrio	Vs. Super Mario Bros. (set SM4-4 E)	Nintendo	1986	Platform / Run, Jump & Scrolling				2	2	2	joy8way		60	H			256	240	R	
suprmrioa	Vs. Super Mario Bros. (set ?, harder)	Nintendo	1986	Platform / Run, Jump & Scrolling	suprmrio	suprmrio		2	2	2	joy8way		60	H			256	240	R	
suprmriobl	Vs. Super Mario Bros. (bootleg with Z80, set 1)	bootleg	1986	Platform / Run, Jump & Scrolling	suprmrio	suprmrio		2	2	2	joy8way		60	H			256	240	R	
suprmriobl2	Vs. Super Mario Bros. (bootleg with Z80, set 2)	bootleg	1986	Platform / Run, Jump & Scrolling	suprmrio	suprmrio		2	2	2	joy8way		60	H			256	240	R	
suprpkr1	Super Poker (Version 10.15S)		1986					1	9	1	joy8way		60.000000	H			416	224	R	
suprpokr	Super Poker (Version 10.19S)	Grayhound Electronics	1986	Casino / Cards				1	9	1	joy8way		60	H			416	224	R	
suprpokra	Super Poker (Version 10.15S)	Grayhound Electronics	1986										60.000000	H			416	224		
suprpokrb	Super Poker (Version 10.10)	Grayhound Electronics	1986										60.000000	H			416	224		
suprpool	Super Pool (ver. 1.2)	ABM Games	1998	Casino / Cards				5	2	1	joy8way		60	H			384	240	R	
suprridr	Super Rider	Taito Corporation (Venture Line license)	1983	Platform / Run, Jump & Scrolling				1	2	2	joy2way		60	V			256	224	R	
suprslam	From TV Animation Slam Dunk - Super Slams	Banpresto / Toei Animation	1995	Sports / Basketball				3	4	2	joy8way		60	H			320	224	R	
suprstar	Super Stars	Amatic Trading GmbH	1996										60.000000	V			512	256		
suprtrio	Super Trio	Gameace	1994	Platform / Run, Jump & Scrolling				1	3	2	joy8way		60	H			320	240	R	
supxevs	Vs. Super Xevious	Namco	1986	Shooter / Flying Vertical				1	2	2	joy8way		60	H			256	240	R	
suratk	Surprise Attack (World ver. K)	Konami	1990	Platform / Shooter Scrolling				2	2	2	joy8way		60	H			288	224	R	
suratka	Surprise Attack (Asia ver. L)	Konami	1990	Platform / Shooter Scrolling	suratk	suratk		2	2	2	joy8way		60	H			288	224	R	
suratkj	Surprise Attack (Japan ver. M)	Konami	1990	Platform / Shooter Scrolling	suratk	suratk		2	2	2	joy8way		60	H			288	224	R	
sureshot	Sure Shot	SMS Manufacturing Corp.	1985	Casino / Cards				2	10	1	joy4way		60	H			432	256	R	
surfplnt	Surf Planet (Version 4.1)	Gaelco	1997	Sports / Skiing				1	5	1	paddle		60	H			576	432	R	
surfplnt40	Surf Planet (Version 4.0)	Gaelco	1997	Sports / Skiing	surfplnt	surfplnt		1	5	1	paddle		60	H			576	432	R	
surpratk	Surprise Attack (Japan ver. M)		1990	Not Classified						2			60	H	4	3	288	224	R	
survarts	Survival Arts (World)	Sammy	1993	Fighter / Versus				2	6	2	joy8way		60	H			336	240	R	
survartsj	Survival Arts (Japan)	Sammy	1993										60.186720	H			336	240		
survartsu	Survival Arts (USA)	American Sammy	1993	Fighter / Versus	survarts	survarts		2	6	2	joy8way		60	H			336	240	R	
survival	Survival	Rock-Ola	1982	Shooter / Field				1	1	2	joy8way		61.035156	V			256	208	R	
